DEBUG 2024-12-06 16:33:17,373 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\contrib\auth\admin.py first seen with mtime 1729230971.2072113
DEBUG 2024-12-06 16:33:17,374 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\socket.py first seen with mtime 1729230833.303928
DEBUG 2024-12-06 16:33:17,375 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\widget_tweaks\templatetags\__init__.py first seen with mtime 1730790160.1255028
DEBUG 2024-12-06 16:33:17,376 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\utils\dates.py first seen with mtime 1729230974.3390124
DEBUG 2024-12-06 16:33:17,377 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\dispatch\__init__.py first seen with mtime 1729230974.153509
DEBUG 2024-12-06 16:33:17,378 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\core\cache\__init__.py first seen with mtime 1729230973.9151673
DEBUG 2024-12-06 16:33:17,379 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1729230973.9022064
DEBUG 2024-12-06 16:33:17,381 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\core\servers\basehttp.py first seen with mtime 1729230974.0179179
DEBUG 2024-12-06 16:33:17,383 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1729230974.0637734
DEBUG 2024-12-06 16:33:17,385 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\views\decorators\debug.py first seen with mtime 1729230974.3859346
